# imu_dataset_metadata={"schema_version":"1","saved_at":"2026-06-09T15:48:48","magnetometer":{"schema_version":"1","saved_at":"2026-06-09T15:48:48","sources":[{"source_id":"raw_magnetometer","title":"Raw Magnetometer","show":true,"record":true},{"source_id":"raw_heading","title":"Raw Heading","show":false,"record":true},{"source_id":"gnss_heading","title":"GNSS Heading","show":false,"record":true}],"filters":[{"method_id":"method_1","name":"Analytic Geometry Transform 2D","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","stream_id":"derived_method_1","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_2","name":"Improved Affine Magnetometer Method","version":"1.3.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","stream_id":"derived_method_2","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_3","name":"Simple Hard Ironing Method","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","stream_id":"derived_method_3","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}],"recorded_streams":[{"stream_id":"raw_magnetometer","kind":"source","title":"Raw Magnetometer","stream_type":"raw","flags":""},{"stream_id":"raw_heading","kind":"source","title":"Raw Heading","stream_type":"raw","flags":"heading_only"},{"stream_id":"gnss_heading","kind":"source","title":"GNSS Heading","stream_type":"reference","flags":"heading_only"}],"recorded_method_ids":[],"method_bindings":[{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","name":"Analytic Geometry Transform 2D","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","name":"Improved Affine Magnetometer Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","name":"Simple Hard Ironing Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}]},"accelerometer":{"schema_version":"1","saved_at":"2026-06-09T15:48:48","sources":[{"source_id":"raw_accelerometer","title":"Raw Accelerometer","show":true,"record":true},{"source_id":"raw_tilt","title":"Raw Tilt","show":true,"record":false}],"filters":[],"recorded_streams":[{"stream_id":"raw_accelerometer","kind":"source","title":"Raw Accelerometer","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]},"gyroscope":{"schema_version":"1","saved_at":"2026-06-09T15:48:48","sources":[{"source_id":"raw_gyroscope","title":"Raw Gyroscope","show":true,"record":true}],"filters":[],"recorded_streams":[{"stream_id":"raw_gyroscope","kind":"source","title":"Raw Gyroscope","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]}}
stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll_deg,pitch_deg,rate_mag,heading,flags
gnss_heading,reference,GNSS Heading,builtin,17702,2432723096,,,,,,,,0,0,0,,,,0,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,17706,2432723096,,,,,,,,-4797,-1215,18750,,,,255.786840263,
raw_heading,raw,Raw Heading,builtin,17706,2432723096,,,,,,,,-4797,-1215,18750,,,,255.786840263,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,17706,2432723096,,0.203181996942,-0.208391800523,-0.956707775593,,,,,,,-167.71167639,-11.7230965251,,,
raw_tilt,raw,Raw Tilt,builtin,17706,2432723096,,0.203181996942,-0.208391800523,-0.956707775593,,,,,,,-167.71167639,-11.7230965251,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,17706,2432723096,,,,,0.0372478812933,0.015963377431,-0.020220277831,,,,,,0.0452890021463,,
raw_magnetometer,raw,Raw Magnetometer,builtin,17731,2432723096,,,,,,,,-4797,-1215,18750,,,,255.786840263,
raw_heading,raw,Raw Heading,builtin,17731,2432723096,,,,,,,,-4797,-1215,18750,,,,255.786840263,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,17731,2432723096,,0.210777744651,-0.210305154324,-0.95464360714,,,,,,,-167.576349422,-12.1679343706,,,
raw_tilt,raw,Raw Tilt,builtin,17731,2432723096,,0.210777744651,-0.210305154324,-0.95464360714,,,,,,,-167.576349422,-12.1679343706,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,17731,2432723096,,,,,0.0489543564618,0.015963377431,-0.0191560536623,,,,,,0.0549391738881,,
raw_magnetometer,raw,Raw Magnetometer,builtin,17756,2432723096,,,,,,,,-4802,-1242,18672,,,,255.498676312,
raw_heading,raw,Raw Heading,builtin,17756,2432723096,,,,,,,,-4802,-1242,18672,,,,255.498676312,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,17756,2432723096,,0.20113709569,-0.214670673013,-0.955751180649,,,,,,,-167.340921136,-11.6034614695,,,
raw_tilt,raw,Raw Tilt,builtin,17756,2432723096,,0.20113709569,-0.214670673013,-0.955751180649,,,,,,,-167.340921136,-11.6034614695,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,17756,2432723096,,,,,0.0415047816932,0.0148991523311,-0.0234129540622,,,,,,0.0499279286723,,
raw_magnetometer,raw,Raw Magnetometer,builtin,17781,2432723159,,,,,,,,-4802,-1242,18672,,,,255.498676312,
raw_heading,raw,Raw Heading,builtin,17781,2432723159,,,,,,,,-4802,-1242,18672,,,,255.498676312,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,17781,2432723159,,0.194895505905,-0.216498374939,-0.956631660461,,,,,,,-167.248021237,-11.2386197554,,,
raw_tilt,raw,Raw Tilt,builtin,17781,2432723159,,0.194895505905,-0.216498374939,-0.956631660461,,,,,,,-167.248021237,-11.2386197554,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,17781,2432723159,,,,,0.00425690086558,0.0138349272311,-0.0255414042622,,,,,,0.0293579588554,,
raw_magnetometer,raw,Raw Magnetometer,builtin,17806,2432723159,,,,,,,,-4802,-1242,18672,,,,255.498676312,
raw_heading,raw,Raw Heading,builtin,17806,2432723159,,,,,,,,-4802,-1242,18672,,,,255.498676312,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,17806,2432723159,,0.19404193759,-0.200683966279,-0.960246682167,,,,,,,-168.195541602,-11.1887615886,,,
raw_tilt,raw,Raw Tilt,builtin,17806,2432723159,,0.19404193759,-0.200683966279,-0.960246682167,,,,,,,-168.195541602,-11.1887615886,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,17806,2432723159,,,,,-0.00638535106555,0.015963377431,-0.0308625288308,,,,,,0.0353284278318,,
raw_magnetometer,raw,Raw Magnetometer,builtin,17831,2432723221,,,,,,,,-4802,-1242,18672,,,,255.498676312,
raw_heading,raw,Raw Heading,builtin,17831,2432723221,,,,,,,,-4802,-1242,18672,,,,255.498676312,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,17831,2432723221,,0.180251076818,-0.193899333477,-0.964319705963,,,,,,,-168.630927249,-10.384385195,,,
raw_tilt,raw,Raw Tilt,builtin,17831,2432723221,,0.180251076818,-0.193899333477,-0.964319705963,,,,,,,-168.630927249,-10.384385195,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,17831,2432723221,,,,,0.0553397089243,0.0191560536623,-0.0340552069247,,,,,,0.0677435967042,,
gnss_heading,reference,GNSS Heading,builtin,17854,2432723221,,,,,,,,0,0,0,,,,0,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,17858,2432723221,,,,,,,,-4812,-1195,18682,,,,256.053443146,
raw_heading,raw,Raw Heading,builtin,17858,2432723221,,,,,,,,-4812,-1195,18682,,,,256.053443146,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,17858,2432723221,,0.183366253972,-0.208963066339,-0.960578560829,,,,,,,-167.727159338,-10.5658967694,,,
raw_tilt,raw,Raw Tilt,builtin,17858,2432723221,,0.183366253972,-0.208963066339,-0.960578560829,,,,,,,-167.727159338,-10.5658967694,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,17858,2432723221,,,,,0.0691746324301,0.0223487280309,-0.0383121073246,,,,,,0.0821730672671,,
raw_magnetometer,raw,Raw Magnetometer,builtin,17882,2432723221,,,,,,,,-4812,-1195,18682,,,,256.053443146,
raw_heading,raw,Raw Heading,builtin,17882,2432723221,,,,,,,,-4812,-1195,18682,,,,256.053443146,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,17882,2432723221,,0.193892121315,-0.210283964872,-0.958220481873,,,,,,,-167.622501334,-11.1800117157,,,
raw_tilt,raw,Raw Tilt,builtin,17882,2432723221,,0.193892121315,-0.210283964872,-0.958220481873,,,,,,,-167.622501334,-11.1800117157,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,17882,2432723221,,,,,0.0340552069247,0.0244771782309,-0.0425690077245,,,,,,0.0597579265996,,
raw_magnetometer,raw,Raw Magnetometer,builtin,17907,2432723283,,,,,,,,-4812,-1195,18682,,,,256.053443146,
