# imu_dataset_metadata={"schema_version":"1","saved_at":"2026-06-09T16:08:39","magnetometer":{"schema_version":"1","saved_at":"2026-06-09T16:08:39","sources":[{"source_id":"raw_magnetometer","title":"Raw Magnetometer","show":true,"record":true},{"source_id":"raw_heading","title":"Raw Heading","show":false,"record":true},{"source_id":"gnss_heading","title":"GNSS Heading","show":false,"record":true}],"filters":[{"method_id":"method_1","name":"Analytic Geometry Transform 2D","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","stream_id":"derived_method_1","show":true,"record":false,"realtime_enabled":false,"params":{"algorithm_name":"Analytic Geometry Transform 2D","algorithm_version":"1.0.0","schema_version":"1","created_at":"2026-06-09T12:51:21Z","params":{"offset_x":-2513.5,"offset_y":451.0,"cos_beta":-0.6805014056798047,"sin_beta":-0.7327467754059446,"x_scale":1.0,"y_scale":1.1133346882034263}},"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_2","name":"Improved Affine Magnetometer Method","version":"1.3.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","stream_id":"derived_method_2","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_3","name":"Simple Hard Ironing Method","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","stream_id":"derived_method_3","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}],"recorded_streams":[{"stream_id":"raw_magnetometer","kind":"source","title":"Raw Magnetometer","stream_type":"raw","flags":""},{"stream_id":"raw_heading","kind":"source","title":"Raw Heading","stream_type":"raw","flags":"heading_only"},{"stream_id":"gnss_heading","kind":"source","title":"GNSS Heading","stream_type":"reference","flags":"heading_only"}],"recorded_method_ids":[],"method_bindings":[{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","name":"Analytic Geometry Transform 2D","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","name":"Improved Affine Magnetometer Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","name":"Simple Hard Ironing Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}]},"accelerometer":{"schema_version":"1","saved_at":"2026-06-09T16:08:39","sources":[{"source_id":"raw_accelerometer","title":"Raw Accelerometer","show":true,"record":true},{"source_id":"raw_tilt","title":"Raw Tilt","show":true,"record":false}],"filters":[],"recorded_streams":[{"stream_id":"raw_accelerometer","kind":"source","title":"Raw Accelerometer","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]},"gyroscope":{"schema_version":"1","saved_at":"2026-06-09T16:08:39","sources":[{"source_id":"raw_gyroscope","title":"Raw Gyroscope","show":true,"record":true}],"filters":[],"recorded_streams":[{"stream_id":"raw_gyroscope","kind":"source","title":"Raw Gyroscope","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]}}
stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll_deg,pitch_deg,rate_mag,heading,flags
raw_magnetometer,raw,Raw Magnetometer,builtin,1218112,2433914373,,,,,,,,-367,1247,19377,,,,343.600509891,
raw_heading,raw,Raw Heading,builtin,1218112,2433914373,,,,,,,,-367,1247,19377,,,,343.600509891,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1218112,2433914373,,0.00808627717197,-0.0556526146829,-0.998417377472,,,,,,,-176.809587129,-0.463314635406,,,
raw_tilt,raw,Raw Tilt,builtin,1218112,2433914373,,0.00808627717197,-0.0556526146829,-0.998417377472,,,,,,,-176.809587129,-0.463314635406,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1218112,2433914373,,,,,-0.0915233641863,0.0148991523311,0.0585323870182,,,,,,0.10965651491,,
gnss_heading,reference,GNSS Heading,builtin,1218135,2433914373,,,,,,,,0,0,0,,,,75.8355026245,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,1218139,2433914373,,,,,,,,-367,1247,19377,,,,343.600509891,
raw_heading,raw,Raw Heading,builtin,1218139,2433914373,,,,,,,,-367,1247,19377,,,,343.600509891,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1218139,2433914373,,0.00906022079289,-0.0534076169133,-0.998531699181,,,,,,,-176.938386602,-0.519119511266,,,
raw_tilt,raw,Raw Tilt,builtin,1218139,2433914373,,0.00906022079289,-0.0534076169133,-0.998531699181,,,,,,,-176.938386602,-0.519119511266,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1218139,2433914373,,,,,-0.0957802608609,0.0117064770311,0.0595966093242,,,,,,0.11341364917,,
raw_magnetometer,raw,Raw Magnetometer,builtin,1218163,2433914434,,,,,,,,-327,1220,19320,,,,344.995531327,
raw_heading,raw,Raw Heading,builtin,1218163,2433914434,,,,,,,,-327,1220,19320,,,,344.995531327,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1218163,2433914434,,0.00335878343321,-0.044623836875,-0.998998165131,,,,,,,-177.442378619,-0.192444486277,,,
raw_tilt,raw,Raw Tilt,builtin,1218163,2433914434,,0.00335878343321,-0.044623836875,-0.998998165131,,,,,,,-177.442378619,-0.192444486277,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1218163,2433914434,,,,,-0.0287340786308,0.00851380173117,0.0638535097241,,,,,,0.0705365352053,,
raw_magnetometer,raw,Raw Magnetometer,builtin,1218188,2433914434,,,,,,,,-327,1220,19320,,,,344.995531327,
raw_heading,raw,Raw Heading,builtin,1218188,2433914434,,,,,,,,-327,1220,19320,,,,344.995531327,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1218188,2433914434,,0,-0.0364189706743,-0.999336600304,,,,,,,-177.912885123,-0,,,
raw_tilt,raw,Raw Tilt,builtin,1218188,2433914434,,0,-0.0364189706743,-0.999336600304,,,,,,,-177.912885123,-0,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1218188,2433914434,,,,,-0.0659819617867,0.00425690086558,0.0670461878181,,,,,,0.0941643870428,,
raw_magnetometer,raw,Raw Magnetometer,builtin,1218213,2433914434,,,,,,,,-327,1220,19320,,,,344.995531327,
raw_heading,raw,Raw Heading,builtin,1218213,2433914434,,,,,,,,-327,1220,19320,,,,344.995531327,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1218213,2433914434,,0.00387894548476,-0.0368499793112,-0.999313294888,,,,,,,-177.888157713,-0.222247759401,,,
raw_tilt,raw,Raw Tilt,builtin,1218213,2433914434,,0.00387894548476,-0.0368499793112,-0.999313294888,,,,,,,-177.888157713,-0.222247759401,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1218213,2433914434,,,,,-0.0383121073246,0,0.072367310524,,,,,,0.0818831191402,,
raw_magnetometer,raw,Raw Magnetometer,builtin,1218238,2433914496,,,,,,,,-327,1220,19320,,,,344.995531327,
raw_heading,raw,Raw Heading,builtin,1218238,2433914496,,,,,,,,-327,1220,19320,,,,344.995531327,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1218238,2433914496,,0.00387108605355,-0.0391947478056,-0.999224066734,,,,,,,-177.753714094,-0.221797452598,,,
