# imu_dataset_metadata={"schema_version":"1","saved_at":"2026-06-09T16:35:20","magnetometer":{"schema_version":"1","saved_at":"2026-06-09T16:35:20","sources":[{"source_id":"raw_magnetometer","title":"Raw Magnetometer","show":true,"record":true},{"source_id":"raw_heading","title":"Raw Heading","show":false,"record":true},{"source_id":"gnss_heading","title":"GNSS Heading","show":false,"record":true}],"filters":[{"method_id":"method_1","name":"Analytic Geometry Transform 2D","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","stream_id":"derived_method_1","show":true,"record":false,"realtime_enabled":false,"params":{"algorithm_name":"Analytic Geometry Transform 2D","algorithm_version":"1.0.0","schema_version":"1","created_at":"2026-06-09T12:51:21Z","params":{"offset_x":-2513.5,"offset_y":451.0,"cos_beta":-0.6805014056798047,"sin_beta":-0.7327467754059446,"x_scale":1.0,"y_scale":1.1133346882034263}},"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_2","name":"Improved Affine Magnetometer Method","version":"1.3.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","stream_id":"derived_method_2","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_3","name":"Simple Hard Ironing Method","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","stream_id":"derived_method_3","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}],"recorded_streams":[{"stream_id":"raw_magnetometer","kind":"source","title":"Raw Magnetometer","stream_type":"raw","flags":""},{"stream_id":"raw_heading","kind":"source","title":"Raw Heading","stream_type":"raw","flags":"heading_only"},{"stream_id":"gnss_heading","kind":"source","title":"GNSS Heading","stream_type":"reference","flags":"heading_only"}],"recorded_method_ids":[],"method_bindings":[{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","name":"Analytic Geometry Transform 2D","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","name":"Improved Affine Magnetometer Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","name":"Simple Hard Ironing Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}]},"accelerometer":{"schema_version":"1","saved_at":"2026-06-09T16:35:20","sources":[{"source_id":"raw_accelerometer","title":"Raw Accelerometer","show":true,"record":true},{"source_id":"raw_tilt","title":"Raw Tilt","show":true,"record":false}],"filters":[],"recorded_streams":[{"stream_id":"raw_accelerometer","kind":"source","title":"Raw Accelerometer","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]},"gyroscope":{"schema_version":"1","saved_at":"2026-06-09T16:35:20","sources":[{"source_id":"raw_gyroscope","title":"Raw Gyroscope","show":true,"record":true}],"filters":[],"recorded_streams":[{"stream_id":"raw_gyroscope","kind":"source","title":"Raw Gyroscope","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]}}
stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll_deg,pitch_deg,rate_mag,heading,flags
raw_magnetometer,raw,Raw Magnetometer,builtin,2831343,2435515463,,,,,,,,-3912,3082,13240,,,,308.232182115,
raw_heading,raw,Raw Heading,builtin,2831343,2435515463,,,,,,,,-3912,3082,13240,,,,308.232182115,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2831343,2435515463,,-0.0838069468737,-0.00242216605693,-0.996479094028,,,,,,,-179.860730024,4.80742302728,,,
raw_tilt,raw,Raw Tilt,builtin,2831343,2435515463,,-0.0838069468737,-0.00242216605693,-0.996479094028,,,,,,,-179.860730024,4.80742302728,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2831343,2435515463,,,,,-0.0468259081244,0.0500185862184,0.0585323870182,,,,,,0.090114177403,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2831368,2435515526,,,,,,,,-3862,3112,13197,,,,308.861870749,
raw_heading,raw,Raw Heading,builtin,2831368,2435515526,,,,,,,,-3862,3112,13197,,,,308.861870749,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2831368,2435515526,,-0.0831661373377,0.00145905511454,-0.996534645557,,,,,,,179.916111657,4.77057876908,,,
raw_tilt,raw,Raw Tilt,builtin,2831368,2435515526,,-0.0831661373377,0.00145905511454,-0.996534645557,,,,,,,179.916111657,4.77057876908,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2831368,2435515526,,,,,-0.0659819617867,0.0510828085244,0.0606608353555,,,,,,0.103163993496,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2831393,2435515526,,,,,,,,-3862,3112,13197,,,,308.861870749,
raw_heading,raw,Raw Heading,builtin,2831393,2435515526,,,,,,,,-3862,3112,13197,,,,308.861870749,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2831393,2435515526,,-0.086317487061,0,-0.996267735958,,,,,,,180,4.95178952097,,,
raw_tilt,raw,Raw Tilt,builtin,2831393,2435515526,,-0.086317487061,0,-0.996267735958,,,,,,,180,4.95178952097,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2831393,2435515526,,,,,-0.0617250576615,0.0500185862184,0.0606608353555,,,,,,0.0999578844145,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2831418,2435515590,,,,,,,,-3862,3112,13197,,,,308.861870749,
raw_heading,raw,Raw Heading,builtin,2831418,2435515590,,,,,,,,-3862,3112,13197,,,,308.861870749,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2831418,2435515590,,-0.0857872217894,0.00487427366897,-0.996301591396,,,,,,,179.719690219,4.92129454906,,,
raw_tilt,raw,Raw Tilt,builtin,2831418,2435515590,,-0.0857872217894,0.00487427366897,-0.996301591396,,,,,,,179.719690219,4.92129454906,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2831418,2435515590,,,,,-0.00744957616553,0.0532112568617,0.0606608353555,,,,,,0.0810349985369,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2831443,2435515590,,,,,,,,-3862,3112,13197,,,,308.861870749,
raw_heading,raw,Raw Heading,builtin,2831443,2435515590,,,,,,,,-3862,3112,13197,,,,308.861870749,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2831443,2435515590,,-0.0760617256165,-0.0048757516779,-0.99709123373,,,,,,,-179.719827277,4.36222878104,,,
raw_tilt,raw,Raw Tilt,builtin,2831443,2435515590,,-0.0760617256165,-0.0048757516779,-0.99709123373,,,,,,,-179.719827277,4.36222878104,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2831443,2435515590,,,,,0.100037172437,0.0510828085244,0.0606608353555,,,,,,0.127658239616,,
gnss_heading,reference,GNSS Heading,builtin,2831466,2435515590,,,,,,,,0,0,0,,,,351.156311035,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,2831470,2435515590,,,,,,,,-3832,3097,13245,,,,308.94494085,
raw_heading,raw,Raw Heading,builtin,2831470,2435515590,,,,,,,,-3832,3097,13245,,,,308.94494085,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2831470,2435515590,,-0.0727362632751,-0.00829876773059,-0.997316658497,,,,,,,-179.523247317,4.17116450288,,,
raw_tilt,raw,Raw Tilt,builtin,2831470,2435515590,,-0.0727362632751,-0.00829876773059,-0.997316658497,,,,,,,-179.523247317,4.17116450288,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2831470,2435515590,,,,,0.036183655262,0.0500185862184,0.0617250576615,,,,,,0.0872989038804,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2831494,2435515654,,,,,,,,-3832,3097,13245,,,,308.94494085,
raw_heading,raw,Raw Heading,builtin,2831494,2435515654,,,,,,,,-3832,3097,13245,,,,308.94494085,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2831494,2435515654,,-0.0785351395607,0.00343591230921,-0.996905446053,,,,,,,179.802526413,4.50437038168,,,
raw_tilt,raw,Raw Tilt,builtin,2831494,2435515654,,-0.0785351395607,0.00343591230921,-0.996905446053,,,,,,,179.802526413,4.50437038168,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2831494,2435515654,,,,,-0.0244771782309,0.0489543564618,0.0638535097241,,,,,,0.0841007251742,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2831519,2435515654,,,,,,,,-3832,3097,13245,,,,308.94494085,
raw_heading,raw,Raw Heading,builtin,2831519,2435515654,,,,,,,,-3832,3097,13245,,,,308.94494085,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2831519,2435515654,,-0.0778873339295,0.00292077497579,-0.99695789814,,,,,,,179.832141758,4.46713986175,,,
raw_tilt,raw,Raw Tilt,builtin,2831519,2435515654,,-0.0778873339295,0.00292077497579,-0.99695789814,,,,,,,179.832141758,4.46713986175,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2831519,2435515654,,,,,0.00744957616553,0.0478901304305,0.0649177357554,,,,,,0.0810140308422,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2831544,2435515716,,,,,,,,-3832,3097,13245,,,,308.94494085,
raw_heading,raw,Raw Heading,builtin,2831544,2435515716,,,,,,,,-3832,3097,13245,,,,308.94494085,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2831544,2435515716,,-0.0797630921006,0.00580095220357,-0.996796905994,,,,,,,179.666565652,4.57494868642,,,
raw_tilt,raw,Raw Tilt,builtin,2831544,2435515716,,-0.0797630921006,0.00580095220357,-0.996796905994,,,,,,,179.666565652,4.57494868642,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2831544,2435515716,,,,,0.00957802683115,0.0457616820931,0.0691746324301,,,,,,0.0834925141423,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2831570,2435515716,,,,,,,,-3867,3092,13145,,,,308.64535012,
raw_heading,raw,Raw Heading,builtin,2831570,2435515716,,,,,,,,-3867,3092,13145,,,,308.64535012,heading_only
