# imu_dataset_metadata={"schema_version":"1","saved_at":"2026-06-09T16:30:40","magnetometer":{"schema_version":"1","saved_at":"2026-06-09T16:30:40","sources":[{"source_id":"raw_magnetometer","title":"Raw Magnetometer","show":true,"record":true},{"source_id":"raw_heading","title":"Raw Heading","show":false,"record":true},{"source_id":"gnss_heading","title":"GNSS Heading","show":false,"record":true}],"filters":[{"method_id":"method_1","name":"Analytic Geometry Transform 2D","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","stream_id":"derived_method_1","show":true,"record":false,"realtime_enabled":false,"params":{"algorithm_name":"Analytic Geometry Transform 2D","algorithm_version":"1.0.0","schema_version":"1","created_at":"2026-06-09T12:51:21Z","params":{"offset_x":-2513.5,"offset_y":451.0,"cos_beta":-0.6805014056798047,"sin_beta":-0.7327467754059446,"x_scale":1.0,"y_scale":1.1133346882034263}},"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_2","name":"Improved Affine Magnetometer Method","version":"1.3.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","stream_id":"derived_method_2","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_3","name":"Simple Hard Ironing Method","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","stream_id":"derived_method_3","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}],"recorded_streams":[{"stream_id":"raw_magnetometer","kind":"source","title":"Raw Magnetometer","stream_type":"raw","flags":""},{"stream_id":"raw_heading","kind":"source","title":"Raw Heading","stream_type":"raw","flags":"heading_only"},{"stream_id":"gnss_heading","kind":"source","title":"GNSS Heading","stream_type":"reference","flags":"heading_only"}],"recorded_method_ids":[],"method_bindings":[{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","name":"Analytic Geometry Transform 2D","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","name":"Improved Affine Magnetometer Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","name":"Simple Hard Ironing Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}]},"accelerometer":{"schema_version":"1","saved_at":"2026-06-09T16:30:40","sources":[{"source_id":"raw_accelerometer","title":"Raw Accelerometer","show":true,"record":true},{"source_id":"raw_tilt","title":"Raw Tilt","show":true,"record":false}],"filters":[],"recorded_streams":[{"stream_id":"raw_accelerometer","kind":"source","title":"Raw Accelerometer","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]},"gyroscope":{"schema_version":"1","saved_at":"2026-06-09T16:30:40","sources":[{"source_id":"raw_gyroscope","title":"Raw Gyroscope","show":true,"record":true}],"filters":[],"recorded_streams":[{"stream_id":"raw_gyroscope","kind":"source","title":"Raw Gyroscope","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]}}
stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll_deg,pitch_deg,rate_mag,heading,flags
raw_magnetometer,raw,Raw Magnetometer,builtin,2548821,2435234928,,,,,,,,-1907,3492,18870,,,,331.36080855,
raw_heading,raw,Raw Heading,builtin,2548821,2435234928,,,,,,,,-1907,3492,18870,,,,331.36080855,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2548821,2435234928,,-0.206947624683,-0.163253337145,-0.964635193348,,,,,,,-170.394369627,11.9435347907,,,
raw_tilt,raw,Raw Tilt,builtin,2548821,2435234928,,-0.206947624683,-0.163253337145,-0.964635193348,,,,,,,-170.394369627,11.9435347907,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2548821,2435234928,,,,,-0.00319267553277,0.0255414042622,0.0276698544621,,,,,,0.037791233834,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2548846,2435234928,,,,,,,,-1907,3492,18870,,,,331.36080855,
raw_heading,raw,Raw Heading,builtin,2548846,2435234928,,,,,,,,-1907,3492,18870,,,,331.36080855,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2548846,2435234928,,-0.208522826433,-0.167107209563,-0.963635504246,,,,,,,-170.16198817,12.0358002988,,,
raw_tilt,raw,Raw Tilt,builtin,2548846,2435234928,,-0.208522826433,-0.167107209563,-0.963635504246,,,,,,,-170.16198817,12.0358002988,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2548846,2435234928,,,,,0.0627892836928,0.0212845038623,0.0266056284308,,,,,,0.0714379711045,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2548871,2435234928,,,,,,,,-1907,3492,18870,,,,331.36080855,
raw_heading,raw,Raw Heading,builtin,2548871,2435234928,,,,,,,,-1907,3492,18870,,,,331.36080855,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2548871,2435234928,,-0.207994788885,-0.168995767832,-0.963420331478,,,,,,,-170.050835491,12.0048667461,,,
raw_tilt,raw,Raw Tilt,builtin,2548871,2435234928,,-0.207994788885,-0.168995767832,-0.963420331478,,,,,,,-170.050835491,12.0048667461,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2548871,2435234928,,,,,0.0862022414804,0.020220277831,0.0266056284308,,,,,,0.0924529368706,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2548896,2435234990,,,,,,,,-1907,3492,18870,,,,331.36080855,
raw_heading,raw,Raw Heading,builtin,2548896,2435234990,,,,,,,,-1907,3492,18870,,,,331.36080855,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2548896,2435234990,,-0.211037456989,-0.168253093958,-0.962888419628,,,,,,,-170.0883265,12.1831566685,,,
raw_tilt,raw,Raw Tilt,builtin,2548896,2435234990,,-0.211037456989,-0.168253093958,-0.962888419628,,,,,,,-170.0883265,12.1831566685,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2548896,2435234990,,,,,0.0170276034623,0.0148991523311,0.0255414042622,,,,,,0.03412165517,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2548921,2435234990,,,,,,,,-1892,3497,18812,,,,331.585052984,
raw_heading,raw,Raw Heading,builtin,2548921,2435234990,,,,,,,,-1892,3497,18812,,,,331.585052984,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2548921,2435234990,,-0.21289730072,-0.165963128209,-0.962876439095,,,,,,,-170.220485288,12.2921953709,,,
raw_tilt,raw,Raw Tilt,builtin,2548921,2435234990,,-0.21289730072,-0.165963128209,-0.962876439095,,,,,,,-170.220485288,12.2921953709,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2548921,2435234990,,,,,-0.00744957616553,0.0127707021311,0.0244771782309,,,,,,0.0285957911608,,
gnss_heading,reference,GNSS Heading,builtin,2548944,2435234990,,,,,,,,0,0,0,,,,48.3413009644,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,2549123,2435235244,,,,,,,,-1875,3587,18807,,,,332.402989252,
raw_heading,raw,Raw Heading,builtin,2549123,2435235244,,,,,,,,-1875,3587,18807,,,,332.402989252,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2549123,2435235244,,-0.22955223918,-0.149941563606,-0.961677372456,,,,,,,-171.137983292,13.2707111533,,,
