# imu_dataset_metadata={"schema_version":"1","saved_at":"2026-06-09T16:23:55","magnetometer":{"schema_version":"1","saved_at":"2026-06-09T16:23:55","sources":[{"source_id":"raw_magnetometer","title":"Raw Magnetometer","show":true,"record":true},{"source_id":"raw_heading","title":"Raw Heading","show":false,"record":true},{"source_id":"gnss_heading","title":"GNSS Heading","show":false,"record":true}],"filters":[{"method_id":"method_1","name":"Analytic Geometry Transform 2D","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","stream_id":"derived_method_1","show":true,"record":false,"realtime_enabled":false,"params":{"algorithm_name":"Analytic Geometry Transform 2D","algorithm_version":"1.0.0","schema_version":"1","created_at":"2026-06-09T12:51:21Z","params":{"offset_x":-2513.5,"offset_y":451.0,"cos_beta":-0.6805014056798047,"sin_beta":-0.7327467754059446,"x_scale":1.0,"y_scale":1.1133346882034263}},"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_2","name":"Improved Affine Magnetometer Method","version":"1.3.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","stream_id":"derived_method_2","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_3","name":"Simple Hard Ironing Method","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","stream_id":"derived_method_3","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}],"recorded_streams":[{"stream_id":"raw_magnetometer","kind":"source","title":"Raw Magnetometer","stream_type":"raw","flags":""},{"stream_id":"raw_heading","kind":"source","title":"Raw Heading","stream_type":"raw","flags":"heading_only"},{"stream_id":"gnss_heading","kind":"source","title":"GNSS Heading","stream_type":"reference","flags":"heading_only"}],"recorded_method_ids":[],"method_bindings":[{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","name":"Analytic Geometry Transform 2D","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","name":"Improved Affine Magnetometer Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","name":"Simple Hard Ironing Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}]},"accelerometer":{"schema_version":"1","saved_at":"2026-06-09T16:23:55","sources":[{"source_id":"raw_accelerometer","title":"Raw Accelerometer","show":true,"record":true},{"source_id":"raw_tilt","title":"Raw Tilt","show":true,"record":false}],"filters":[],"recorded_streams":[{"stream_id":"raw_accelerometer","kind":"source","title":"Raw Accelerometer","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]},"gyroscope":{"schema_version":"1","saved_at":"2026-06-09T16:23:55","sources":[{"source_id":"raw_gyroscope","title":"Raw Gyroscope","show":true,"record":true}],"filters":[],"recorded_streams":[{"stream_id":"raw_gyroscope","kind":"source","title":"Raw Gyroscope","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]}}
stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll_deg,pitch_deg,rate_mag,heading,flags
raw_magnetometer,raw,Raw Magnetometer,builtin,2140901,2434830016,,,,,,,,-1007,2660,18797,,,,339.264766062,
raw_heading,raw,Raw Heading,builtin,2140901,2434830016,,,,,,,,-1007,2660,18797,,,,339.264766062,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2140901,2434830016,,-0.127718478441,-0.0475909151137,-0.990667998791,,,,,,,-177.249670012,7.33777176924,,,
raw_tilt,raw,Raw Tilt,builtin,2140901,2434830016,,-0.127718478441,-0.0475909151137,-0.990667998791,,,,,,,-177.249670012,7.33777176924,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2140901,2434830016,,,,,0.0553397089243,0.0436332300305,-0.0372478812933,,,,,,0.0797103933472,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2140926,2434830079,,,,,,,,-1007,2660,18797,,,,339.264766062,
raw_heading,raw,Raw Heading,builtin,2140926,2434830079,,,,,,,,-1007,2660,18797,,,,339.264766062,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2140926,2434830079,,-0.133317410946,-0.0488342158496,-0.989869534969,,,,,,,-177.175660312,7.66133512268,,,
raw_tilt,raw,Raw Tilt,builtin,2140926,2434830079,,-0.133317410946,-0.0488342158496,-0.989869534969,,,,,,,-177.175660312,7.66133512268,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2140926,2434830079,,,,,-0.0117064770311,0.0532112568617,-0.0340552069247,,,,,,0.0642513546936,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2140951,2434830079,,,,,,,,-992,2627,18870,,,,339.3126084,
raw_heading,raw,Raw Heading,builtin,2140951,2434830079,,,,,,,,-992,2627,18870,,,,339.3126084,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2140951,2434830079,,-0.125211462379,-0.0452687591314,-0.99109685421,,,,,,,-177.384809181,7.1929671014,,,
raw_tilt,raw,Raw Tilt,builtin,2140951,2434830079,,-0.125211462379,-0.0452687591314,-0.99109685421,,,,,,,-177.384809181,7.1929671014,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2140951,2434830079,,,,,-0.0468259081244,0.0606608353555,-0.0297983046621,,,,,,0.0822212963802,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2140976,2434830140,,,,,,,,-992,2627,18870,,,,339.3126084,
raw_heading,raw,Raw Heading,builtin,2140976,2434830140,,,,,,,,-992,2627,18870,,,,339.3126084,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2140976,2434830140,,-0.119829379022,-0.0368705764413,-0.992109596729,,,,,,,-177.871649807,6.8822557629,,,
raw_tilt,raw,Raw Tilt,builtin,2140976,2434830140,,-0.119829379022,-0.0368705764413,-0.992109596729,,,,,,,-177.871649807,6.8822557629,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2140976,2434830140,,,,,-0.0510828085244,0.0681104138494,-0.0223487280309,,,,,,0.0880224258134,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2141001,2434830140,,,,,,,,-992,2627,18870,,,,339.3126084,
raw_heading,raw,Raw Heading,builtin,2141001,2434830140,,,,,,,,-992,2627,18870,,,,339.3126084,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2141001,2434830140,,-0.128600984812,-0.0368132591248,-0.99101293087,,,,,,,-177.87260597,7.38875584295,,,
raw_tilt,raw,Raw Tilt,builtin,2141001,2434830140,,-0.128600984812,-0.0368132591248,-0.99101293087,,,,,,,-177.87260597,7.38875584295,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2141001,2434830140,,,,,0.0127707021311,0.0713030844927,-0.0170276034623,,,,,,0.0744120955945,,
gnss_heading,reference,GNSS Heading,builtin,2141024,2434830140,,,,,,,,0,0,0,,,,40.9026985168,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,2141028,2434830203,,,,,,,,-992,2627,18870,,,,339.3126084,
raw_heading,raw,Raw Heading,builtin,2141028,2434830203,,,,,,,,-992,2627,18870,,,,339.3126084,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2141028,2434830203,,-0.134976401925,-0.0411876551807,-0.989992380142,,,,,,,-177.617639587,7.7572554665,,,
