# imu_dataset_metadata={"schema_version":"1","saved_at":"2026-06-09T16:46:19","magnetometer":{"schema_version":"1","saved_at":"2026-06-09T16:46:19","sources":[{"source_id":"raw_magnetometer","title":"Raw Magnetometer","show":true,"record":true},{"source_id":"raw_heading","title":"Raw Heading","show":false,"record":true},{"source_id":"gnss_heading","title":"GNSS Heading","show":false,"record":true}],"filters":[{"method_id":"method_1","name":"Analytic Geometry Transform 2D","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","stream_id":"derived_method_1","show":true,"record":false,"realtime_enabled":false,"params":{"algorithm_name":"Analytic Geometry Transform 2D","algorithm_version":"1.0.0","schema_version":"1","created_at":"2026-06-09T12:51:21Z","params":{"offset_x":-2513.5,"offset_y":451.0,"cos_beta":-0.6805014056798047,"sin_beta":-0.7327467754059446,"x_scale":1.0,"y_scale":1.1133346882034263}},"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_2","name":"Improved Affine Magnetometer Method","version":"1.3.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","stream_id":"derived_method_2","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_3","name":"Simple Hard Ironing Method","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","stream_id":"derived_method_3","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}],"recorded_streams":[{"stream_id":"raw_magnetometer","kind":"source","title":"Raw Magnetometer","stream_type":"raw","flags":""},{"stream_id":"raw_heading","kind":"source","title":"Raw Heading","stream_type":"raw","flags":"heading_only"},{"stream_id":"gnss_heading","kind":"source","title":"GNSS Heading","stream_type":"reference","flags":"heading_only"}],"recorded_method_ids":[],"method_bindings":[{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","name":"Analytic Geometry Transform 2D","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","name":"Improved Affine Magnetometer Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","name":"Simple Hard Ironing Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}]},"accelerometer":{"schema_version":"1","saved_at":"2026-06-09T16:46:19","sources":[{"source_id":"raw_accelerometer","title":"Raw Accelerometer","show":true,"record":true},{"source_id":"raw_tilt","title":"Raw Tilt","show":true,"record":false}],"filters":[],"recorded_streams":[{"stream_id":"raw_accelerometer","kind":"source","title":"Raw Accelerometer","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]},"gyroscope":{"schema_version":"1","saved_at":"2026-06-09T16:46:19","sources":[{"source_id":"raw_gyroscope","title":"Raw Gyroscope","show":true,"record":true}],"filters":[],"recorded_streams":[{"stream_id":"raw_gyroscope","kind":"source","title":"Raw Gyroscope","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]}}
stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll_deg,pitch_deg,rate_mag,heading,flags
raw_magnetometer,raw,Raw Magnetometer,builtin,3495281,2436174369,,,,,,,,-5210,7,13452,,,,270.076980847,
raw_heading,raw,Raw Heading,builtin,3495281,2436174369,,,,,,,,-5210,7,13452,,,,270.076980847,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,3495281,2436174369,,-0.0858344733715,-0.126114338636,-0.988295257092,,,,,,,-172.727905101,4.92401230429,,,
raw_tilt,raw,Raw Tilt,builtin,3495281,2436174369,,-0.0858344733715,-0.126114338636,-0.988295257092,,,,,,,-172.727905101,4.92401230429,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,3495281,2436174369,,,,,0.22348728776,-0.0755599886179,-0.135156601667,,,,,,0.271888187762,,
raw_magnetometer,raw,Raw Magnetometer,builtin,3495306,2436174496,,,,,,,,-5350,70,13367,,,,270.74962163,
raw_heading,raw,Raw Heading,builtin,3495306,2436174496,,,,,,,,-5350,70,13367,,,,270.74962163,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,3495306,2436174496,,-0.0931460410357,-0.117402821779,-0.988706409931,,,,,,,-173.228186581,5.34462267604,,,
raw_tilt,raw,Raw Tilt,builtin,3495306,2436174496,,-0.0931460410357,-0.117402821779,-0.988706409931,,,,,,,-173.228186581,5.34462267604,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,3495306,2436174496,,,,,0.129835471511,-0.0681104138494,-0.122385889292,,,,,,0.190983203541,,
raw_magnetometer,raw,Raw Magnetometer,builtin,3495331,2436174496,,,,,,,,-5350,70,13367,,,,270.74962163,
raw_heading,raw,Raw Heading,builtin,3495331,2436174496,,,,,,,,-5350,70,13367,,,,270.74962163,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,3495331,2436174496,,-0.0987953841686,-0.126884266734,-0.986985266209,,,,,,,-172.674383644,5.66980739708,,,
raw_tilt,raw,Raw Tilt,builtin,3495331,2436174496,,-0.0987953841686,-0.126884266734,-0.986985266209,,,,,,,-172.674383644,5.66980739708,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,3495331,2436174496,,,,,0.144734621048,-0.0638535097241,-0.116000548005,,,,,,0.196167042011,,
gnss_heading,reference,GNSS Heading,builtin,3495354,2436174496,,,,,,,,0,0,0,,,,246.404098511,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,3495358,2436174496,,,,,,,,-5350,70,13367,,,,270.74962163,
raw_heading,raw,Raw Heading,builtin,3495358,2436174496,,,,,,,,-5350,70,13367,,,,270.74962163,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,3495358,2436174496,,-0.114180579782,-0.13083191216,-0.984807491302,,,,,,,-172.432554047,6.55636445003,,,
raw_tilt,raw,Raw Tilt,builtin,3495358,2436174496,,-0.114180579782,-0.13083191216,-0.984807491302,,,,,,,-172.432554047,6.55636445003,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,3495358,2436174496,,,,,0.126642793417,-0.0574681572616,-0.106422513723,,,,,,0.175119209828,,
raw_magnetometer,raw,Raw Magnetometer,builtin,3495382,2436174496,,,,,,,,-5350,70,13367,,,,270.74962163,
raw_heading,raw,Raw Heading,builtin,3495382,2436174496,,,,,,,,-5350,70,13367,,,,270.74962163,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,3495382,2436174496,,-0.122023239732,-0.148933306336,-0.981289565563,,,,,,,-171.369907708,7.00888387015,,,
raw_tilt,raw,Raw Tilt,builtin,3495382,2436174496,,-0.122023239732,-0.148933306336,-0.981289565563,,,,,,,-171.369907708,7.00888387015,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,3495382,2436174496,,,,,0.177725613117,-0.0457616820931,-0.0968444868922,,,,,,0.207507541423,,
raw_magnetometer,raw,Raw Magnetometer,builtin,3495407,2436174496,,,,,,,,-5412,115,13310,,,,271.21729919,
raw_heading,raw,Raw Heading,builtin,3495407,2436174496,,,,,,,,-5412,115,13310,,,,271.21729919,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,3495407,2436174496,,-0.124230526388,-0.158405467868,-0.979527652264,,,,,,,-170.813873501,7.1363220576,,,
