# imu_dataset_metadata={"schema_version":"1","saved_at":"2026-06-09T16:01:13","magnetometer":{"schema_version":"1","saved_at":"2026-06-09T16:01:13","sources":[{"source_id":"raw_magnetometer","title":"Raw Magnetometer","show":true,"record":true},{"source_id":"raw_heading","title":"Raw Heading","show":false,"record":true},{"source_id":"gnss_heading","title":"GNSS Heading","show":false,"record":true}],"filters":[{"method_id":"method_1","name":"Analytic Geometry Transform 2D","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","stream_id":"derived_method_1","show":true,"record":false,"realtime_enabled":false,"params":{"algorithm_name":"Analytic Geometry Transform 2D","algorithm_version":"1.0.0","schema_version":"1","created_at":"2026-06-09T12:51:21Z","params":{"offset_x":-2513.5,"offset_y":451.0,"cos_beta":-0.6805014056798047,"sin_beta":-0.7327467754059446,"x_scale":1.0,"y_scale":1.1133346882034263}},"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_2","name":"Improved Affine Magnetometer Method","version":"1.3.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","stream_id":"derived_method_2","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_3","name":"Simple Hard Ironing Method","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","stream_id":"derived_method_3","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}],"recorded_streams":[{"stream_id":"raw_magnetometer","kind":"source","title":"Raw Magnetometer","stream_type":"raw","flags":""},{"stream_id":"raw_heading","kind":"source","title":"Raw Heading","stream_type":"raw","flags":"heading_only"},{"stream_id":"gnss_heading","kind":"source","title":"GNSS Heading","stream_type":"reference","flags":"heading_only"}],"recorded_method_ids":[],"method_bindings":[{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","name":"Analytic Geometry Transform 2D","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","name":"Improved Affine Magnetometer Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","name":"Simple Hard Ironing Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}]},"accelerometer":{"schema_version":"1","saved_at":"2026-06-09T16:01:13","sources":[{"source_id":"raw_accelerometer","title":"Raw Accelerometer","show":true,"record":true},{"source_id":"raw_tilt","title":"Raw Tilt","show":true,"record":false}],"filters":[],"recorded_streams":[{"stream_id":"raw_accelerometer","kind":"source","title":"Raw Accelerometer","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]},"gyroscope":{"schema_version":"1","saved_at":"2026-06-09T16:01:13","sources":[{"source_id":"raw_gyroscope","title":"Raw Gyroscope","show":true,"record":true}],"filters":[],"recorded_streams":[{"stream_id":"raw_gyroscope","kind":"source","title":"Raw Gyroscope","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]}}
stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll_deg,pitch_deg,rate_mag,heading,flags
raw_magnetometer,raw,Raw Magnetometer,builtin,768421,2433467985,,,,,,,,-3807,-367,19132,,,,264.493623855,
raw_heading,raw,Raw Heading,builtin,768421,2433467985,,,,,,,,-3807,-367,19132,,,,264.493623855,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,768421,2433467985,,-0.0198596268892,-0.0521315187216,-0.998442709446,,,,,,,-177.011139332,1.13794764564,,,
raw_tilt,raw,Raw Tilt,builtin,768421,2433467985,,-0.0198596268892,-0.0521315187216,-0.998442709446,,,,,,,-177.011139332,1.13794764564,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,768421,2433467985,,,,,0.119193218648,-0.00957802683115,0.0691746324301,,,,,,0.138144459685,,
gnss_heading,reference,GNSS Heading,builtin,768444,2433467985,,,,,,,,0,0,0,,,,260.107696533,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,768448,2433467985,,,,,,,,-3897,-315,19010,,,,265.378748598,
raw_heading,raw,Raw Heading,builtin,768448,2433467985,,,,,,,,-3897,-315,19010,,,,265.378748598,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,768448,2433467985,,-0.0123772006482,-0.0604007393122,-0.998097479343,,,,,,,-176.536919284,0.709179459208,,,
raw_tilt,raw,Raw Tilt,builtin,768448,2433467985,,-0.0123772006482,-0.0604007393122,-0.998097479343,,,,,,,-176.536919284,0.709179459208,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,768448,2433467985,,,,,0.0287340786308,-0.00638535106555,0.0776884406805,,,,,,0.0830777575429,,
raw_magnetometer,raw,Raw Magnetometer,builtin,768472,2433468048,,,,,,,,-3897,-315,19010,,,,265.378748598,
raw_heading,raw,Raw Heading,builtin,768472,2433468048,,,,,,,,-3897,-315,19010,,,,265.378748598,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,768472,2433468048,,-0.000992061337456,-0.0545633770525,-0.998509764671,,,,,,,-176.872193768,0.0568409399211,,,
raw_tilt,raw,Raw Tilt,builtin,768472,2433468048,,-0.000992061337456,-0.0545633770525,-0.998509764671,,,,,,,-176.872193768,0.0568409399211,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,768472,2433468048,,,,,-0.020220277831,-0.00319267553277,0.0808811113238,,,,,,0.083431450794,,
raw_magnetometer,raw,Raw Magnetometer,builtin,768497,2433468048,,,,,,,,-3897,-315,19010,,,,265.378748598,
raw_heading,raw,Raw Heading,builtin,768497,2433468048,,,,,,,,-3897,-315,19010,,,,265.378748598,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,768497,2433468048,,0.000497687258758,-0.0572340339422,-0.99836063385,,,,,,,-176.718937921,-0.0285153815117,,,
raw_tilt,raw,Raw Tilt,builtin,768497,2433468048,,0.000497687258758,-0.0572340339422,-0.99836063385,,,,,,,-176.718937921,-0.0285153815117,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,768497,2433468048,,,,,0.00638535106555,-0.00319267553277,0.0819453448057,,,,,,0.0822557318405,,
raw_magnetometer,raw,Raw Magnetometer,builtin,768522,2433468048,,,,,,,,-3897,-315,19010,,,,265.378748598,
raw_heading,raw,Raw Heading,builtin,768522,2433468048,,,,,,,,-3897,-315,19010,,,,265.378748598,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,768522,2433468048,,-0.00495379464701,-0.0599409155548,-0.998189628124,,,,,,,-176.563536387,0.283832688562,,,
raw_tilt,raw,Raw Tilt,builtin,768522,2433468048,,-0.00495379464701,-0.0599409155548,-0.998189628124,,,,,,,-176.563536387,0.283832688562,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,768522,2433468048,,,,,0.0127707021311,0,0.0808811113238,,,,,,0.0818831179298,,
raw_magnetometer,raw,Raw Magnetometer,builtin,768547,2433468110,,,,,,,,-3917,-282,19137,,,,265.882159545,
raw_heading,raw,Raw Heading,builtin,768547,2433468110,,,,,,,,-3917,-282,19137,,,,265.882159545,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,768547,2433468110,,-0.010292342864,-0.0563628338277,-0.99835729599,,,,,,,-176.768763888,0.589718221837,,,
