# imu_dataset_metadata={"schema_version":"1","saved_at":"2026-06-09T16:25:53","magnetometer":{"schema_version":"1","saved_at":"2026-06-09T16:25:53","sources":[{"source_id":"raw_magnetometer","title":"Raw Magnetometer","show":true,"record":true},{"source_id":"raw_heading","title":"Raw Heading","show":false,"record":true},{"source_id":"gnss_heading","title":"GNSS Heading","show":false,"record":true}],"filters":[{"method_id":"method_1","name":"Analytic Geometry Transform 2D","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","stream_id":"derived_method_1","show":true,"record":false,"realtime_enabled":false,"params":{"algorithm_name":"Analytic Geometry Transform 2D","algorithm_version":"1.0.0","schema_version":"1","created_at":"2026-06-09T12:51:21Z","params":{"offset_x":-2513.5,"offset_y":451.0,"cos_beta":-0.6805014056798047,"sin_beta":-0.7327467754059446,"x_scale":1.0,"y_scale":1.1133346882034263}},"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_2","name":"Improved Affine Magnetometer Method","version":"1.3.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","stream_id":"derived_method_2","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_3","name":"Simple Hard Ironing Method","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","stream_id":"derived_method_3","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}],"recorded_streams":[{"stream_id":"raw_magnetometer","kind":"source","title":"Raw Magnetometer","stream_type":"raw","flags":""},{"stream_id":"raw_heading","kind":"source","title":"Raw Heading","stream_type":"raw","flags":"heading_only"},{"stream_id":"gnss_heading","kind":"source","title":"GNSS Heading","stream_type":"reference","flags":"heading_only"}],"recorded_method_ids":[],"method_bindings":[{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","name":"Analytic Geometry Transform 2D","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","name":"Improved Affine Magnetometer Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","name":"Simple Hard Ironing Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}]},"accelerometer":{"schema_version":"1","saved_at":"2026-06-09T16:25:53","sources":[{"source_id":"raw_accelerometer","title":"Raw Accelerometer","show":true,"record":true},{"source_id":"raw_tilt","title":"Raw Tilt","show":true,"record":false}],"filters":[],"recorded_streams":[{"stream_id":"raw_accelerometer","kind":"source","title":"Raw Accelerometer","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]},"gyroscope":{"schema_version":"1","saved_at":"2026-06-09T16:25:53","sources":[{"source_id":"raw_gyroscope","title":"Raw Gyroscope","show":true,"record":true}],"filters":[],"recorded_streams":[{"stream_id":"raw_gyroscope","kind":"source","title":"Raw Gyroscope","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]}}
stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll_deg,pitch_deg,rate_mag,heading,flags
raw_magnetometer,raw,Raw Magnetometer,builtin,2259820,2434948125,,,,,,,,-3665,-1377,18717,,,,249.407985416,
raw_heading,raw,Raw Heading,builtin,2259820,2434948125,,,,,,,,-3665,-1377,18717,,,,249.407985416,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2259820,2434948125,,0.184021994472,-0.00814680755138,-0.98288834095,,,,,,,-179.525106789,-10.6041181302,,,
raw_tilt,raw,Raw Tilt,builtin,2259820,2434948125,,0.184021994472,-0.00814680755138,-0.98288834095,,,,,,,-179.525106789,-10.6041181302,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2259820,2434948125,,,,,-0.152184188366,-0.00425690086558,0.151119977236,,,,,,0.214511994801,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2259845,2434948125,,,,,,,,-3665,-1377,18717,,,,249.407985416,
raw_heading,raw,Raw Heading,builtin,2259845,2434948125,,,,,,,,-3665,-1377,18717,,,,249.407985416,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2259845,2434948125,,0.174242332578,-0.01314118132,-0.984615147114,,,,,,,-179.235346391,-10.0345692213,,,
raw_tilt,raw,Raw Tilt,builtin,2259845,2434948125,,0.174242332578,-0.01314118132,-0.984615147114,,,,,,,-179.235346391,-10.0345692213,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2259845,2434948125,,,,,-0.196881651878,-0.00319267553277,0.156441107392,,,,,,0.251488365746,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2259870,2434948125,,,,,,,,-3665,-1377,18717,,,,249.407985416,
raw_heading,raw,Raw Heading,builtin,2259870,2434948125,,,,,,,,-3665,-1377,18717,,,,249.407985416,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2259870,2434948125,,0.170877069235,-0.0112290643156,-0.985228359699,,,,,,,-179.347004042,-9.83881769157,,,
raw_tilt,raw,Raw Tilt,builtin,2259870,2434948125,,0.170877069235,-0.0112290643156,-0.985228359699,,,,,,,-179.347004042,-9.83881769157,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2259870,2434948125,,,,,-0.251157134771,-0.00425690086558,0.157505318522,,,,,,0.296489380778,,
gnss_heading,reference,GNSS Heading,builtin,2259893,2434948189,,,,,,,,0,0,0,,,,255.336898804,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,2259897,2434948189,,,,,,,,-3665,-1377,18717,,,,249.407985416,
raw_heading,raw,Raw Heading,builtin,2259897,2434948189,,,,,,,,-3665,-1377,18717,,,,249.407985416,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2259897,2434948189,,0.172069191933,0.00147910474334,-0.985083758831,,,,,,,179.913970366,-9.90814805827,,,
raw_tilt,raw,Raw Tilt,builtin,2259897,2434948189,,0.172069191933,0.00147910474334,-0.985083758831,,,,,,,179.913970366,-9.90814805827,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2259897,2434948189,,,,,-0.259670943022,-0.00532112596557,0.158569559455,,,,,,0.304305139978,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2259921,2434948189,,,,,,,,-3607,-1350,18870,,,,249.480519881,
raw_heading,raw,Raw Heading,builtin,2259921,2434948189,,,,,,,,-3607,-1350,18870,,,,249.480519881,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2259921,2434948189,,0.168353572488,-0.00292788818479,-0.985722362995,,,,,,,-179.829815018,-9.69210569732,,,
raw_tilt,raw,Raw Tilt,builtin,2259921,2434948189,,0.168353572488,-0.00292788818479,-0.985722362995,,,,,,,-179.829815018,-9.69210569732,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2259921,2434948189,,,,,-0.200074344873,-0.00851380173117,0.157505318522,,,,,,0.254774711577,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2259946,2434948253,,,,,,,,-3607,-1350,18870,,,,249.480519881,
raw_heading,raw,Raw Heading,builtin,2259946,2434948253,,,,,,,,-3607,-1350,18870,,,,249.480519881,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2259946,2434948253,,0.175321400166,-0.00529817398638,-0.984497070312,,,,,,,-179.691659745,-10.097361406,,,
raw_tilt,raw,Raw Tilt,builtin,2259946,2434948253,,0.175321400166,-0.00529817398638,-0.984497070312,,,,,,,-179.691659745,-10.097361406,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2259946,2434948253,,,,,-0.15431265533,-0.0106422519311,0.158569559455,,,,,,0.221517399558,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2259971,2434948253,,,,,,,,-3607,-1350,18870,,,,249.480519881,
raw_heading,raw,Raw Heading,builtin,2259971,2434948253,,,,,,,,-3607,-1350,18870,,,,249.480519881,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2259971,2434948253,,0.176515877247,-0.00767460325733,-0.984267830849,,,,,,,-179.553258319,-10.1668853001,,,
raw_tilt,raw,Raw Tilt,builtin,2259971,2434948253,,0.176515877247,-0.00767460325733,-0.984267830849,,,,,,,-179.553258319,-10.1668853001,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2259971,2434948253,,,,,-0.119193218648,-0.0127707021311,0.157505318522,,,,,,0.197934432496,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2259996,2434948315,,,,,,,,-3607,-1350,18870,,,,249.480519881,
raw_heading,raw,Raw Heading,builtin,2259996,2434948315,,,,,,,,-3607,-1350,18870,,,,249.480519881,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2259996,2434948315,,0.185284376144,-0.0199537016451,-0.98248231411,,,,,,,-178.836512654,-10.6777128753,,,
raw_tilt,raw,Raw Tilt,builtin,2259996,2434948315,,0.185284376144,-0.0199537016451,-0.98248231411,,,,,,,-178.836512654,-10.6777128753,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2259996,2434948315,,,,,-0.148991525173,-0.0138349272311,0.15431265533,,,,,,0.214947145549,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2260021,2434948315,,,,,,,,-3522,-1262,18852,,,,250.286426328,
raw_heading,raw,Raw Heading,builtin,2260021,2434948315,,,,,,,,-3522,-1262,18852,,,,250.286426328,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2260021,2434948315,,0.196735873818,-0.0142562231049,-0.980352938175,,,,,,,-179.166867549,-11.3461456493,,,
raw_tilt,raw,Raw Tilt,builtin,2260021,2434948315,,0.196735873818,-0.0142562231049,-0.980352938175,,,,,,,-179.166867549,-11.3461456493,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2260021,2434948315,,,,,-0.175597161055,-0.015963377431,0.15431265533,,,,,,0.234310878929,,
gnss_heading,reference,GNSS Heading,builtin,2260044,2434948315,,,,,,,,0,0,0,,,,255.336898804,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,2260048,2434948315,,,,,,,,-3522,-1262,18852,,,,250.286426328,
raw_heading,raw,Raw Heading,builtin,2260048,2434948315,,,,,,,,-3522,-1262,18852,,,,250.286426328,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2260048,2434948315,,0.209557116032,-0.00671350024641,-0.977773368359,,,,,,,-179.606607014,-12.096399286,,,
raw_tilt,raw,Raw Tilt,builtin,2260048,2434948315,,0.209557116032,-0.00671350024641,-0.977773368359,,,,,,,-179.606607014,-12.096399286,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2260048,2434948315,,,,,-0.0340552069247,-0.0212845038623,0.150055751204,,,,,,0.15533678152,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2260072,2434948379,,,,,,,,-3522,-1262,18852,,,,250.286426328,
raw_heading,raw,Raw Heading,builtin,2260072,2434948379,,,,,,,,-3522,-1262,18852,,,,250.286426328,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2260072,2434948379,,0.21321348846,-0.0063282540068,-0.976985096931,,,,,,,-179.62888157,-12.3107381861,,,
raw_tilt,raw,Raw Tilt,builtin,2260072,2434948379,,0.21321348846,-0.0063282540068,-0.976985096931,,,,,,,-179.62888157,-12.3107381861,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2260072,2434948379,,,,,0.10322984308,-0.0244771782309,0.141541957855,,,,,,0.176888831162,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2260097,2434948379,,,,,,,,-3522,-1262,18852,,,,250.286426328,
raw_heading,raw,Raw Heading,builtin,2260097,2434948379,,,,,,,,-3522,-1262,18852,,,,250.286426328,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2260097,2434948379,,0.208601117134,-0.0133149651811,-0.977910161018,,,,,,,-179.219924078,-12.0403867437,,,
raw_tilt,raw,Raw Tilt,builtin,2260097,2434948379,,0.208601117134,-0.0133149651811,-0.977910161018,,,,,,,-179.219924078,-12.0403867437,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2260097,2434948379,,,,,0.144734621048,-0.0276698544621,0.13728505373,,,,,,0.201397411487,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2260122,2434948442,,,,,,,,-3577,-1237,18870,,,,250.923564408,
raw_heading,raw,Raw Heading,builtin,2260122,2434948442,,,,,,,,-3577,-1237,18870,,,,250.923564408,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2260122,2434948442,,0.192260324955,-0.0114856818691,-0.981276750565,,,,,,,-179.329393013,-11.0847235722,,,
raw_tilt,raw,Raw Tilt,builtin,2260122,2434948442,,0.192260324955,-0.0114856818691,-0.981276750565,,,,,,,-179.329393013,-11.0847235722,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,2260122,2434948442,,,,,0.0957802608609,-0.0255414042622,0.130899697542,,,,,,0.164197906561,,
raw_magnetometer,raw,Raw Magnetometer,builtin,2260147,2434948442,,,,,,,,-3577,-1237,18870,,,,250.923564408,
raw_heading,raw,Raw Heading,builtin,2260147,2434948442,,,,,,,,-3577,-1237,18870,,,,250.923564408,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,2260147,2434948442,,0.181130290031,-0.00852968171239,-0.983422100544,,,,,,,-179.503059258,-10.4356031025,,,
