# imu_dataset_metadata={"schema_version":"1","saved_at":"2026-06-09T16:06:32","magnetometer":{"schema_version":"1","saved_at":"2026-06-09T16:06:32","sources":[{"source_id":"raw_magnetometer","title":"Raw Magnetometer","show":true,"record":true},{"source_id":"raw_heading","title":"Raw Heading","show":false,"record":true},{"source_id":"gnss_heading","title":"GNSS Heading","show":false,"record":true}],"filters":[{"method_id":"method_1","name":"Analytic Geometry Transform 2D","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","stream_id":"derived_method_1","show":true,"record":false,"realtime_enabled":false,"params":{"algorithm_name":"Analytic Geometry Transform 2D","algorithm_version":"1.0.0","schema_version":"1","created_at":"2026-06-09T12:51:21Z","params":{"offset_x":-2513.5,"offset_y":451.0,"cos_beta":-0.6805014056798047,"sin_beta":-0.7327467754059446,"x_scale":1.0,"y_scale":1.1133346882034263}},"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_2","name":"Improved Affine Magnetometer Method","version":"1.3.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","stream_id":"derived_method_2","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_3","name":"Simple Hard Ironing Method","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","stream_id":"derived_method_3","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}],"recorded_streams":[{"stream_id":"raw_magnetometer","kind":"source","title":"Raw Magnetometer","stream_type":"raw","flags":""},{"stream_id":"raw_heading","kind":"source","title":"Raw Heading","stream_type":"raw","flags":"heading_only"},{"stream_id":"gnss_heading","kind":"source","title":"GNSS Heading","stream_type":"reference","flags":"heading_only"}],"recorded_method_ids":[],"method_bindings":[{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","name":"Analytic Geometry Transform 2D","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","name":"Improved Affine Magnetometer Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","name":"Simple Hard Ironing Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}]},"accelerometer":{"schema_version":"1","saved_at":"2026-06-09T16:06:32","sources":[{"source_id":"raw_accelerometer","title":"Raw Accelerometer","show":true,"record":true},{"source_id":"raw_tilt","title":"Raw Tilt","show":true,"record":false}],"filters":[],"recorded_streams":[{"stream_id":"raw_accelerometer","kind":"source","title":"Raw Accelerometer","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]},"gyroscope":{"schema_version":"1","saved_at":"2026-06-09T16:06:32","sources":[{"source_id":"raw_gyroscope","title":"Raw Gyroscope","show":true,"record":true}],"filters":[],"recorded_streams":[{"stream_id":"raw_gyroscope","kind":"source","title":"Raw Gyroscope","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]}}
stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll_deg,pitch_deg,rate_mag,heading,flags
raw_magnetometer,raw,Raw Magnetometer,builtin,1090133,2433787273,,,,,,,,-850,1002,19262,,,,319.691945186,
raw_heading,raw,Raw Heading,builtin,1090133,2433787273,,,,,,,,-850,1002,19262,,,,319.691945186,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1090133,2433787273,,-0.0350046493113,-0.168613940477,-0.98506039381,,,,,,,-170.286749021,2.00602851842,,,
raw_tilt,raw,Raw Tilt,builtin,1090133,2433787273,,-0.0350046493113,-0.168613940477,-0.98506039381,,,,,,,-170.286749021,2.00602851842,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1090133,2433787273,,,,,0.405469805002,0.0947160422802,0.0681104138494,,,,,,0.421919328674,,
gnss_heading,reference,GNSS Heading,builtin,1090156,2433787273,,,,,,,,0,0,0,,,,92.3543014526,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,1090160,2433787273,,,,,,,,-850,1002,19262,,,,319.691945186,
raw_heading,raw,Raw Heading,builtin,1090160,2433787273,,,,,,,,-850,1002,19262,,,,319.691945186,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1090160,2433787273,,-0.0264534391463,-0.17469252646,-0.98426759243,,,,,,,-169.935675528,1.51584727893,,,
raw_tilt,raw,Raw Tilt,builtin,1090160,2433787273,,-0.0264534391463,-0.17469252646,-0.98426759243,,,,,,,-169.935675528,1.51584727893,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1090160,2433787273,,,,,0.191560521722,0.107486747205,0.0776884406805,,,,,,0.232989974296,,
raw_magnetometer,raw,Raw Magnetometer,builtin,1090184,2433787273,,,,,,,,-850,1002,19262,,,,319.691945186,
raw_heading,raw,Raw Heading,builtin,1090184,2433787273,,,,,,,,-850,1002,19262,,,,319.691945186,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1090184,2433787273,,0.00495729967952,-0.177967056632,-0.984023988247,,,,,,,-169.748504031,-0.284033504604,,,
raw_tilt,raw,Raw Tilt,builtin,1090184,2433787273,,0.00495729967952,-0.177967056632,-0.984023988247,,,,,,,-169.748504031,-0.284033504604,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1090184,2433787273,,,,,-0.26605629921,0.118128992617,0.0904591456056,,,,,,0.304833184331,,
raw_magnetometer,raw,Raw Magnetometer,builtin,1090209,2433787334,,,,,,,,-977,940,19330,,,,313.894271959,
raw_heading,raw,Raw Heading,builtin,1090209,2433787334,,,,,,,,-977,940,19330,,,,313.894271959,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1090209,2433787334,,0.0300794262439,-0.159129872918,-0.986799240112,,,,,,,-170.839423941,-1.72368431185,,,
raw_tilt,raw,Raw Tilt,builtin,1090209,2433787334,,0.0300794262439,-0.159129872918,-0.986799240112,,,,,,,-170.839423941,-1.72368431185,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1090209,2433787334,,,,,-0.484222441912,0.12025744468,0.0979087129235,,,,,,0.508447974053,,
raw_magnetometer,raw,Raw Magnetometer,builtin,1090234,2433787334,,,,,,,,-977,940,19330,,,,313.894271959,
raw_heading,raw,Raw Heading,builtin,1090234,2433787334,,,,,,,,-977,940,19330,,,,313.894271959,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1090234,2433787334,,0.0313792787492,-0.139999851584,-0.989654183388,,,,,,,-171.948171003,-1.79819540222,,,
raw_tilt,raw,Raw Tilt,builtin,1090234,2433787334,,0.0313792787492,-0.139999851584,-0.989654183388,,,,,,,-171.948171003,-1.79819540222,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1090234,2433787334,,,,,-0.417176276445,0.119193218648,0.105358287692,,,,,,0.446478933194,,
raw_magnetometer,raw,Raw Magnetometer,builtin,1090259,2433787395,,,,,,,,-977,940,19330,,,,313.894271959,
raw_heading,raw,Raw Heading,builtin,1090259,2433787395,,,,,,,,-977,940,19330,,,,313.894271959,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1090259,2433787395,,0.0286887027323,-0.138094782829,-0.990003407001,,,,,,,-172.059095724,-1.64396718348,,,
raw_tilt,raw,Raw Tilt,builtin,1090259,2433787395,,0.0286887027323,-0.138094782829,-0.990003407001,,,,,,,-172.059095724,-1.64396718348,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1090259,2433787395,,,,,-0.168147578835,0.112807869911,0.109615191817,,,,,,0.230249243341,,
raw_magnetometer,raw,Raw Magnetometer,builtin,1090284,2433787395,,,,,,,,-977,940,19330,,,,313.894271959,
raw_heading,raw,Raw Heading,builtin,1090284,2433787395,,,,,,,,-977,940,19330,,,,313.894271959,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1090284,2433787395,,0.0249410327524,-0.142451658845,-0.989487469196,,,,,,,-171.80769588,-1.42916412226,,,
raw_tilt,raw,Raw Tilt,builtin,1090284,2433787395,,0.0249410327524,-0.142451658845,-0.989487469196,,,,,,,-171.80769588,-1.42916412226,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1090284,2433787395,,,,,0.0893949121237,0.105358287692,0.11174364388,,,,,,0.177703294979,,
gnss_heading,reference,GNSS Heading,builtin,1090307,2433787395,,,,,,,,0,0,0,,,,92.3543014526,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,1090311,2433787395,,,,,,,,-855,907,19347,,,,316.690417718,
raw_heading,raw,Raw Heading,builtin,1090311,2433787395,,,,,,,,-855,907,19347,,,,316.690417718,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,1090311,2433787395,,0.0190427619964,-0.148057475686,-0.988795399666,,,,,,,-171.484073102,-1.09113585331,,,
raw_tilt,raw,Raw Tilt,builtin,1090311,2433787395,,0.0190427619964,-0.148057475686,-0.988795399666,,,,,,,-171.484073102,-1.09113585331,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,1090311,2433787395,,,,,0.172404482961,0.100037172437,0.11174364388,,,,,,0.2285112329,,
raw_magnetometer,raw,Raw Magnetometer,builtin,1090336,2433787456,,,,,,,,-855,907,19347,,,,316.690417718,
