# imu_dataset_metadata={"schema_version":"1","saved_at":"2026-06-09T15:59:46","magnetometer":{"schema_version":"1","saved_at":"2026-06-09T15:59:46","sources":[{"source_id":"raw_magnetometer","title":"Raw Magnetometer","show":true,"record":true},{"source_id":"raw_heading","title":"Raw Heading","show":false,"record":true},{"source_id":"gnss_heading","title":"GNSS Heading","show":false,"record":true}],"filters":[{"method_id":"method_1","name":"Analytic Geometry Transform 2D","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","stream_id":"derived_method_1","show":true,"record":false,"realtime_enabled":false,"params":{"algorithm_name":"Analytic Geometry Transform 2D","algorithm_version":"1.0.0","schema_version":"1","created_at":"2026-06-09T12:51:21Z","params":{"offset_x":-2513.5,"offset_y":451.0,"cos_beta":-0.6805014056798047,"sin_beta":-0.7327467754059446,"x_scale":1.0,"y_scale":1.1133346882034263}},"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_2","name":"Improved Affine Magnetometer Method","version":"1.3.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","stream_id":"derived_method_2","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_3","name":"Simple Hard Ironing Method","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","stream_id":"derived_method_3","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}],"recorded_streams":[{"stream_id":"raw_magnetometer","kind":"source","title":"Raw Magnetometer","stream_type":"raw","flags":""},{"stream_id":"raw_heading","kind":"source","title":"Raw Heading","stream_type":"raw","flags":"heading_only"},{"stream_id":"gnss_heading","kind":"source","title":"GNSS Heading","stream_type":"reference","flags":"heading_only"}],"recorded_method_ids":[],"method_bindings":[{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","name":"Analytic Geometry Transform 2D","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","name":"Improved Affine Magnetometer Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","name":"Simple Hard Ironing Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}]},"accelerometer":{"schema_version":"1","saved_at":"2026-06-09T15:59:46","sources":[{"source_id":"raw_accelerometer","title":"Raw Accelerometer","show":true,"record":true},{"source_id":"raw_tilt","title":"Raw Tilt","show":true,"record":false}],"filters":[],"recorded_streams":[{"stream_id":"raw_accelerometer","kind":"source","title":"Raw Accelerometer","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]},"gyroscope":{"schema_version":"1","saved_at":"2026-06-09T15:59:46","sources":[{"source_id":"raw_gyroscope","title":"Raw Gyroscope","show":true,"record":true}],"filters":[],"recorded_streams":[{"stream_id":"raw_gyroscope","kind":"source","title":"Raw Gyroscope","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]}}
stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll_deg,pitch_deg,rate_mag,heading,flags
raw_magnetometer,raw,Raw Magnetometer,builtin,680789,2433381072,,,,,,,,82,720,19212,,,,6.49735746437,
raw_heading,raw,Raw Heading,builtin,680789,2433381072,,,,,,,,82,720,19212,,,,6.49735746437,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,680789,2433381072,,-0.0474180467427,0.0210746861994,-0.998652756214,,,,,,,178.79105989,2.71787319077,,,
raw_tilt,raw,Raw Tilt,builtin,680789,2433381072,,-0.0474180467427,0.0210746861994,-0.998652756214,,,,,,,178.79105989,2.71787319077,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,680789,2433381072,,,,,-0.00532112596557,0.0170276034623,0.18943208456,,,,,,0.190270250754,,
raw_magnetometer,raw,Raw Magnetometer,builtin,680814,2433381072,,,,,,,,82,720,19212,,,,6.49735746437,
raw_heading,raw,Raw Heading,builtin,680814,2433381072,,,,,,,,82,720,19212,,,,6.49735746437,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,680814,2433381072,,-0.045193053782,0.0267270747572,-0.998620688915,,,,,,,178.466902283,2.59025344577,,,
raw_tilt,raw,Raw Tilt,builtin,680814,2433381072,,-0.045193053782,0.0267270747572,-0.998620688915,,,,,,,178.466902283,2.59025344577,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,680814,2433381072,,,,,0.155376881361,0.00957802683115,0.199010103941,,,,,,0.252663284492,,
gnss_heading,reference,GNSS Heading,builtin,680837,2433381072,,,,,,,,0,0,0,,,,97.7130966187,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,680841,2433381072,,,,,,,,82,720,19212,,,,6.49735746437,
raw_heading,raw,Raw Heading,builtin,680841,2433381072,,,,,,,,82,720,19212,,,,6.49735746437,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,680841,2433381072,,-0.0449378080666,0.0141651788726,-0.998889327049,,,,,,,179.187547063,2.57561417682,,,
raw_tilt,raw,Raw Tilt,builtin,680841,2433381072,,-0.0449378080666,0.0141651788726,-0.998889327049,,,,,,,179.187547063,2.57561417682,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,680841,2433381072,,,,,0.195817425847,0.00425690086558,0.204331234097,,,,,,0.283043881224,,
raw_magnetometer,raw,Raw Magnetometer,builtin,680866,2433381134,,,,,,,,37,680,19257,,,,3.11449326514,
raw_heading,raw,Raw Heading,builtin,680866,2433381134,,,,,,,,37,680,19257,,,,3.11449326514,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,680866,2433381134,,-0.0454741157591,-0.00195587589405,-0.998963654041,,,,,,,-179.887820452,2.60637358758,,,
raw_tilt,raw,Raw Tilt,builtin,680866,2433381134,,-0.0454741157591,-0.00195587589405,-0.998963654041,,,,,,,-179.887820452,2.60637358758,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,680866,2433381134,,,,,0.0553397089243,0,0.213909253478,,,,,,0.220951696322,,
raw_magnetometer,raw,Raw Magnetometer,builtin,680891,2433381134,,,,,,,,37,680,19257,,,,3.11449326514,
raw_heading,raw,Raw Heading,builtin,680891,2433381134,,,,,,,,37,680,19257,,,,3.11449326514,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,680891,2433381134,,-0.0441171787679,-0.00588229065761,-0.999009013176,,,,,,,-179.662639146,2.52854891199,,,
raw_tilt,raw,Raw Tilt,builtin,680891,2433381134,,-0.0441171787679,-0.00588229065761,-0.999009013176,,,,,,,-179.662639146,2.52854891199,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,680891,2433381134,,,,,-0.0638535097241,-0.00532112596557,0.219230383635,,,,,,0.228402158909,,
raw_magnetometer,raw,Raw Magnetometer,builtin,680916,2433381196,,,,,,,,37,680,19257,,,,3.11449326514,
raw_heading,raw,Raw Heading,builtin,680916,2433381196,,,,,,,,37,680,19257,,,,3.11449326514,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,680916,2433381196,,-0.0428576953709,-0.0103449607268,-0.999027609825,,,,,,,-179.406721697,2.45631745185,,,
raw_tilt,raw,Raw Tilt,builtin,680916,2433381196,,-0.0428576953709,-0.0103449607268,-0.999027609825,,,,,,,-179.406721697,2.45631745185,,,tilt_only
