# imu_dataset_metadata={"schema_version":"1","saved_at":"2026-06-09T16:03:11","magnetometer":{"schema_version":"1","saved_at":"2026-06-09T16:03:11","sources":[{"source_id":"raw_magnetometer","title":"Raw Magnetometer","show":true,"record":true},{"source_id":"raw_heading","title":"Raw Heading","show":false,"record":true},{"source_id":"gnss_heading","title":"GNSS Heading","show":false,"record":true}],"filters":[{"method_id":"method_1","name":"Analytic Geometry Transform 2D","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","stream_id":"derived_method_1","show":true,"record":false,"realtime_enabled":false,"params":{"algorithm_name":"Analytic Geometry Transform 2D","algorithm_version":"1.0.0","schema_version":"1","created_at":"2026-06-09T12:51:21Z","params":{"offset_x":-2513.5,"offset_y":451.0,"cos_beta":-0.6805014056798047,"sin_beta":-0.7327467754059446,"x_scale":1.0,"y_scale":1.1133346882034263}},"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_2","name":"Improved Affine Magnetometer Method","version":"1.3.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","stream_id":"derived_method_2","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_3","name":"Simple Hard Ironing Method","version":"1.0.0","file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","stream_id":"derived_method_3","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}],"recorded_streams":[{"stream_id":"raw_magnetometer","kind":"source","title":"Raw Magnetometer","stream_type":"raw","flags":""},{"stream_id":"raw_heading","kind":"source","title":"Raw Heading","stream_type":"raw","flags":"heading_only"},{"stream_id":"gnss_heading","kind":"source","title":"GNSS Heading","stream_type":"reference","flags":"heading_only"}],"recorded_method_ids":[],"method_bindings":[{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\analyticGeometryTransform2D.py","name":"Analytic Geometry Transform 2D","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\improvedAffineMethod.py","name":"Improved Affine Magnetometer Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"C:\\c\\Telega_controller\\externModules\\magnetometer\\simpleHardIroning.py","name":"Simple Hard Ironing Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}]},"accelerometer":{"schema_version":"1","saved_at":"2026-06-09T16:03:11","sources":[{"source_id":"raw_accelerometer","title":"Raw Accelerometer","show":true,"record":true},{"source_id":"raw_tilt","title":"Raw Tilt","show":true,"record":false}],"filters":[],"recorded_streams":[{"stream_id":"raw_accelerometer","kind":"source","title":"Raw Accelerometer","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]},"gyroscope":{"schema_version":"1","saved_at":"2026-06-09T16:03:11","sources":[{"source_id":"raw_gyroscope","title":"Raw Gyroscope","show":true,"record":true}],"filters":[],"recorded_streams":[{"stream_id":"raw_gyroscope","kind":"source","title":"Raw Gyroscope","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[]}}
stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll_deg,pitch_deg,rate_mag,heading,flags
raw_magnetometer,raw,Raw Magnetometer,builtin,886938,2433585604,,,,,,,,-830,37,19290,,,,272.552459331,
raw_heading,raw,Raw Heading,builtin,886938,2433585604,,,,,,,,-830,37,19290,,,,272.552459331,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,886938,2433585604,,0.154347240925,-0.114897467196,-0.981313109398,,,,,,,-173.321904926,-8.87894070941,,,
raw_tilt,raw,Raw Tilt,builtin,886938,2433585604,,0.154347240925,-0.114897467196,-0.981313109398,,,,,,,-173.321904926,-8.87894070941,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,886938,2433585604,,,,,-0.242643341422,0.0617250576615,-0.0659819617867,,,,,,0.258919665458,,
raw_magnetometer,raw,Raw Magnetometer,builtin,886963,2433585604,,,,,,,,-830,37,19290,,,,272.552459331,
raw_heading,raw,Raw Heading,builtin,886963,2433585604,,,,,,,,-830,37,19290,,,,272.552459331,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,886963,2433585604,,0.159263685346,-0.106501482427,-0.981474637985,,,,,,,-173.806968863,-9.16416070222,,,
raw_tilt,raw,Raw Tilt,builtin,886963,2433585604,,0.159263685346,-0.106501482427,-0.981474637985,,,,,,,-173.806968863,-9.16416070222,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,886963,2433585604,,,,,-0.207523912191,0.0595966093242,-0.0627892836928,,,,,,0.224856452255,,
raw_magnetometer,raw,Raw Magnetometer,builtin,886988,2433585604,,,,,,,,-830,37,19290,,,,272.552459331,
raw_heading,raw,Raw Heading,builtin,886988,2433585604,,,,,,,,-830,37,19290,,,,272.552459331,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,886988,2433585604,,0.15595062077,-0.0986229851842,-0.982829034328,,,,,,,-174.269778155,-8.97193329172,,,
raw_tilt,raw,Raw Tilt,builtin,886988,2433585604,,0.15595062077,-0.0986229851842,-0.982829034328,,,,,,,-174.269778155,-8.97193329172,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,886988,2433585604,,,,,-0.0744957625866,0.0553397089243,-0.0595966093242,,,,,,0.110289881087,,
gnss_heading,reference,GNSS Heading,builtin,887011,2433585604,,,,,,,,0,0,0,,,,88.4464035034,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,887015,2433585665,,,,,,,,-830,37,19290,,,,272.552459331,
raw_heading,raw,Raw Heading,builtin,887015,2433585665,,,,,,,,-830,37,19290,,,,272.552459331,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,887015,2433585665,,0.150537282228,-0.111224994063,-0.982327640057,,,,,,,-173.540141766,-8.65806384012,,,
raw_tilt,raw,Raw Tilt,builtin,887015,2433585665,,0.150537282228,-0.111224994063,-0.982327640057,,,,,,,-173.540141766,-8.65806384012,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,887015,2433585665,,,,,-0.072367310524,0.0532112568617,-0.0542754866183,,,,,,0.104949006365,,
raw_magnetometer,raw,Raw Magnetometer,builtin,887040,2433585665,,,,,,,,-830,37,19290,,,,272.552459331,
raw_heading,raw,Raw Heading,builtin,887040,2433585665,,,,,,,,-830,37,19290,,,,272.552459331,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,887040,2433585665,,0.154443576932,-0.102312780917,-0.982689857483,,,,,,,-174.056063944,-8.88452661862,,,
raw_tilt,raw,Raw Tilt,builtin,887040,2433585665,,0.154443576932,-0.102312780917,-0.982689857483,,,,,,,-174.056063944,-8.88452661862,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,887040,2433585665,,,,,-0.0425690077245,0.0500185862184,-0.0489543564618,,,,,,0.081917692854,,
raw_magnetometer,raw,Raw Magnetometer,builtin,887068,2433585726,,,,,,,,-762,37,19315,,,,272.77989516,
raw_heading,raw,Raw Heading,builtin,887068,2433585726,,,,,,,,-762,37,19315,,,,272.77989516,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,887068,2433585726,,0.147233381867,-0.109443478286,-0.983028173447,,,,,,,-173.647250151,-8.46663114133,,,
