stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,mag_x,mag_y,mag_z,heading,flags
raw_magnetometer,raw,Raw Magnetometer,builtin,6005331,177244814,177244505,-658,364,-466,298.950995207,
raw_magnetometer,raw,Raw Magnetometer,builtin,6005431,177244914,177244601,-659,360,-467,298.646996453,
raw_magnetometer,raw,Raw Magnetometer,builtin,6005531,177245015,177244696,-667,369,-469,298.952394611,
raw_magnetometer,raw,Raw Magnetometer,builtin,6005631,177245115,177244792,-667,359,-462,298.29050974,
raw_magnetometer,raw,Raw Magnetometer,builtin,6005731,177245216,177244887,-666,360,-463,298.393019421,
raw_magnetometer,raw,Raw Magnetometer,builtin,6005831,177245316,177244983,-662,366,-466,298.936893367,
raw_magnetometer,raw,Raw Magnetometer,builtin,6005931,177245417,177245078,-668,356,-465,298.054676623,
raw_magnetometer,raw,Raw Magnetometer,builtin,6006031,177245518,177245174,-662,364,-476,298.804148443,
raw_magnetometer,raw,Raw Magnetometer,builtin,6006131,177245618,177245269,-659,368,-467,299.179945329,
raw_magnetometer,raw,Raw Magnetometer,builtin,6006231,177245719,177245365,-661,363,-463,298.774178772,
raw_magnetometer,raw,Raw Magnetometer,builtin,6006331,177245819,177245460,-668,360,-465,298.321211238,
raw_magnetometer,raw,Raw Magnetometer,builtin,6006431,177245919,177245556,-662,357,-464,298.336871966,
raw_magnetometer,raw,Raw Magnetometer,builtin,6006531,177246020,177245651,-655,364,-466,299.062030642,
raw_magnetometer,raw,Raw Magnetometer,builtin,6006631,177246120,177245747,-665,369,-464,299.025334227,
raw_magnetometer,raw,Raw Magnetometer,builtin,6006731,177246221,177245842,-668,372,-460,299.112831497,
raw_magnetometer,raw,Raw Magnetometer,builtin,6006831,177246321,177245938,-668,360,-463,298.321211238,
raw_magnetometer,raw,Raw Magnetometer,builtin,6006931,177246422,177246033,-673,360,-467,298.143140655,
raw_magnetometer,raw,Raw Magnetometer,builtin,6007031,177246522,177246129,-672,364,-469,298.442928624,
raw_magnetometer,raw,Raw Magnetometer,builtin,6007131,177246623,177246224,-671,353,-458,297.747981762,
raw_magnetometer,raw,Raw Magnetometer,builtin,6007231,177246723,177246320,-678,331,-467,296.021657587,
raw_magnetometer,raw,Raw Magnetometer,builtin,6007331,177246824,177246415,-676,314,-467,294.914728961,
