# imu_dataset_metadata={"schema_version":"1","saved_at":"2026-06-05T19:35:13","magnetometer":{"schema_version":"1","saved_at":"2026-06-05T19:35:13","sources":[{"source_id":"raw_magnetometer","title":"Raw Magnetometer","show":true,"record":true},{"source_id":"raw_heading","title":"Raw Heading","show":false,"record":false},{"source_id":"gnss_heading","title":"GNSS Heading","show":true,"record":true}],"filters":[{"method_id":"method_1","name":"Simple Hard Ironing Method","version":"1.0.0","file_path":"/home/necrosii/Programming/Python/Telega_controller/externModules/magnetometer/simpleHardIroning.py","stream_id":"derived_method_1","show":true,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_2","name":"Analytic Geometry Transform 2D","version":"1.0.0","file_path":"/home/necrosii/Programming/Python/Telega_controller/externModules/magnetometer/analyticGeometryTransform2D.py","stream_id":"derived_method_2","show":true,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"method_id":"method_3","name":"Improved Affine Magnetometer Method","version":"1.3.0","file_path":"/home/necrosii/Programming/Python/Telega_controller/externModules/magnetometer/improvedAffineMethod.py","stream_id":"derived_method_3","show":true,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}],"recorded_streams":[{"stream_id":"raw_magnetometer","kind":"source","title":"Raw Magnetometer","stream_type":"raw","flags":""},{"stream_id":"gnss_heading","kind":"source","title":"GNSS Heading","stream_type":"reference","flags":"heading_only"}],"recorded_method_ids":[],"method_bindings":[{"file_path":"/home/necrosii/Programming/Python/Telega_controller/externModules/magnetometer/simpleHardIroning.py","name":"Simple Hard Ironing Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"/home/necrosii/Programming/Python/Telega_controller/externModules/magnetometer/analyticGeometryTransform2D.py","name":"Analytic Geometry Transform 2D","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}},{"file_path":"/home/necrosii/Programming/Python/Telega_controller/externModules/magnetometer/improvedAffineMethod.py","name":"Improved Affine Magnetometer Method","bindings":{"calibrate":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"},"process":{"mag_input":"builtin::raw_magnetometer","heading_input":"builtin::raw_heading"}}}]},"accelerometer":{"schema_version":"1","saved_at":"2026-06-05T19:35:13","sources":[{"source_id":"raw_accelerometer","title":"Raw Accelerometer","show":true,"record":true},{"source_id":"raw_tilt","title":"Raw Tilt","show":true,"record":false}],"filters":[{"method_id":"method_1","name":"Procedure 3 Quasi-Static Accelerometer Calibration","version":"1.0.0","file_path":"/home/necrosii/Programming/Python/Telega_controller/externModules/accelerometer/procedure3QuasiStaticMethod.py","stream_id":"derived_method_1","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{},"process":{}}}],"recorded_streams":[{"stream_id":"raw_accelerometer","kind":"source","title":"Raw Accelerometer","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[{"file_path":"/home/necrosii/Programming/Python/Telega_controller/externModules/accelerometer/procedure3QuasiStaticMethod.py","name":"Procedure 3 Quasi-Static Accelerometer Calibration","bindings":{"calibrate":{},"process":{}}}]},"gyroscope":{"schema_version":"1","saved_at":"2026-06-05T19:35:13","sources":[{"source_id":"raw_gyroscope","title":"Raw Gyroscope","show":true,"record":true}],"filters":[{"method_id":"method_1","name":"Procedure 3 Quasi-Static Gyroscope Calibration","version":"1.0.0","file_path":"/home/necrosii/Programming/Python/Telega_controller/externModules/gyroscope/procedure3QuasiStaticMethod.py","stream_id":"derived_method_1","show":false,"record":false,"realtime_enabled":false,"params":null,"stream_bindings":{"calibrate":{},"process":{}}}],"recorded_streams":[{"stream_id":"raw_gyroscope","kind":"source","title":"Raw Gyroscope","stream_type":"raw","flags":""}],"recorded_method_ids":[],"method_bindings":[{"file_path":"/home/necrosii/Programming/Python/Telega_controller/externModules/gyroscope/procedure3QuasiStaticMethod.py","name":"Procedure 3 Quasi-Static Gyroscope Calibration","bindings":{"calibrate":{},"process":{}}}]}}
stream_id,stream_type,producer_name,producer_version,timestamp_mcu,timestamp_pc_rx,timestamp_pc_est,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll_deg,pitch_deg,rate_mag,heading,flags
gnss_heading,reference,GNSS Heading,builtin,35245,140227232,,,,,,,,0,0,0,,,,0,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,35254,140227232,,,,,,,,-782,-542,19802,,,,235.274378096,
raw_heading,raw,Raw Heading,builtin,35254,140227232,,,,,,,,-782,-542,19802,,,,235.274378096,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,35254,140227232,,0.0283343419433,0.143112435937,-0.989300727844,,,,,,,171.768682183,-1.62365556593,,,
raw_tilt,raw,Raw Tilt,builtin,35254,140227232,,0.0283343419433,0.143112435937,-0.989300727844,,,,,,,171.768682183,-1.62365556593,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,35254,140227232,,,,,0.0170276034623,0.0574681572616,-0.0117064770311,,,,,,0.061070205364,,
gnss_heading,reference,GNSS Heading,builtin,35262,140227232,,,,,,,,0,0,0,,,,0,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,35271,140227232,,,,,,,,-782,-542,19802,,,,235.274378096,
raw_heading,raw,Raw Heading,builtin,35271,140227232,,,,,,,,-782,-542,19802,,,,235.274378096,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,35271,140227232,,0.012217531912,0.139768570662,-0.990108788013,,,,,,,171.964941403,-0.700030453995,,,
raw_tilt,raw,Raw Tilt,builtin,35271,140227232,,0.012217531912,0.139768570662,-0.990108788013,,,,,,,171.964941403,-0.700030453995,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,35271,140227232,,,,,-0.00425690086558,0.0776884406805,-0.00744957616553,,,,,,0.0781608035104,,
gnss_heading,reference,GNSS Heading,builtin,35279,140227232,,,,,,,,0,0,0,,,,0,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,35288,140227232,,,,,,,,-782,-542,19802,,,,235.274378096,
raw_heading,raw,Raw Heading,builtin,35288,140227232,,,,,,,,-782,-542,19802,,,,235.274378096,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,35288,140227232,,0.0175300762057,0.140240609646,-0.989962339401,,,,,,,171.936983913,-1.00445074766,,,
raw_tilt,raw,Raw Tilt,builtin,35288,140227232,,0.0175300762057,0.140240609646,-0.989962339401,,,,,,,171.936983913,-1.00445074766,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,35288,140227232,,,,,0.0010642252164,0.0606608353555,-0.00851380173117,,,,,,0.0612646255294,,
gnss_heading,reference,GNSS Heading,builtin,35295,140227282,,,,,,,,0,0,0,,,,0,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,35304,140227282,,,,,,,,-782,-542,19802,,,,235.274378096,
raw_heading,raw,Raw Heading,builtin,35304,140227282,,,,,,,,-782,-542,19802,,,,235.274378096,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,35304,140227282,,0.0178618654609,0.139032900333,-0.990126669407,,,,,,,172.006828295,-1.02346392439,,,
raw_tilt,raw,Raw Tilt,builtin,35304,140227282,,0.0178618654609,0.139032900333,-0.990126669407,,,,,,,172.006828295,-1.02346392439,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,35304,140227282,,,,,0.0106422519311,0.0383121073246,-0.00957802683115,,,,,,0.040900045132,,
gnss_heading,reference,GNSS Heading,builtin,35312,140227282,,,,,,,,0,0,0,,,,0,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,35321,140227282,,,,,,,,-790,-575,19787,,,,233.951070642,
raw_heading,raw,Raw Heading,builtin,35321,140227282,,,,,,,,-790,-575,19787,,,,233.951070642,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,35321,140227282,,0.029154304415,0.146257430315,-0.988816857338,,,,,,,171.586296582,-1.6706553345,,,
raw_tilt,raw,Raw Tilt,builtin,35321,140227282,,0.029154304415,0.146257430315,-0.988816857338,,,,,,,171.586296582,-1.6706553345,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,35321,140227282,,,,,0.0106422519311,0.0595966093242,-0.00638535106555,,,,,,0.0608751679861,,
gnss_heading,reference,GNSS Heading,builtin,35329,140227282,,,,,,,,0,0,0,,,,0,heading_only
raw_magnetometer,raw,Raw Magnetometer,builtin,35338,140227282,,,,,,,,-790,-575,19787,,,,233.951070642,
raw_heading,raw,Raw Heading,builtin,35338,140227282,,,,,,,,-790,-575,19787,,,,233.951070642,heading_only
raw_accelerometer,raw,Raw Accelerometer,builtin,35338,140227282,,0.0268392674625,0.144444048405,-0.989148974419,,,,,,,171.691899882,-1.53796133805,,,
raw_tilt,raw,Raw Tilt,builtin,35338,140227282,,0.0268392674625,0.144444048405,-0.989148974419,,,,,,,171.691899882,-1.53796133805,,,tilt_only
raw_gyroscope,raw,Raw Gyroscope,builtin,35338,140227282,,,,,0.00957802683115,0.0606608353555,-0.00744957616553,,,,,,0.0618625228151,,
gnss_heading,reference,GNSS Heading,builtin,35345,140227333,,,,,,,,0,0,0,,,,0,heading_only
